no,county,name,"name-for-sheet2site
sheet2site 連動","description
sheet2site 連動",座落區位,用地屬性,"link
sheet2site 連動","代表照片
sheet2site 連動",lat,lon,97x,97y,諮詢對象-民間/公部門,對策,行動類型,"Filter by this
sheet2site 連動",長版描述,"Detailed Description
sheet2site 連動","Button Text
sheet2site 連動",鄉鎮區,所有權單位,管理單位,國土利用調查代號,相關規範,縣市樹種推薦,LandScript-JPG,UnlimitedCitiesDIY-JPG,參考綠化案例,苗圃,植物園與環教場所,個案頁面連結,,推薦諮詢單位,單點多基地,Shape_Area,可種面積,再種植之面積,評估可再種植之面積
26,新北市,土城各近年新建公園,新北市-土城各近年新建公園,期待提出與樹木共融的設施-增加喬木或複層植栽,,公園綠地,https://www.facebook.com/media/set/?set=oa.3023310711121045&type=3,https://lh3.googleusercontent.com/7SirAX0GP7Shy7L8rMRwHm4IsO3DR_ACNKPAVlo8P77C0IWlVkQtds446d3fvlNJ09T4zF1LUfM_PMPOQxmXD7oNp1hJjUmi3PrMJajs4QvVJG_OALiQ2Pr-iCp4ByvV_C5f_8Y_R67zU3LZeLR0YkmxClqGfc5f1BZOqMzJV-i6r9KIgvrYrsyNq6-NXbvSMJL-AgoRGgFcwyuifukwImd_YmDQ1qHLfsUqo_qi_TnRew3fAAT8aDFvIcV9xjRoJNS8KzX8oEPhX8VuhF7RzwvUaJO8IGo7wksIfhVzAc9DnwktLi5RWHiJFe2lzNtEX2UQcw4JyE3KEBRQCzYoFrrxBjpH_paIH2gAuQ5XK1GnblhbDeDBo1yuapdiipBQoiUfrBk-CfYlOeeHhg0x_y0fv8rWQk2YV5a2us_WvTvspcuG5btIVH5EHKN0v9nsATZhnpX5kX6BAGkjrMztwhKxCYTJ-M4gApSxoUuWHmoD_6InpkUzNeZKWLsk-aTGoFxbYdC23z3GF5b0KCr6fhwD2WjqZQJOOL2FE8xc4hk0SlGC2qiHmDkwc_mNmseskuhYfWaand_tKf5s-0noHAgdSZhHH9LYLGqOBSTbm9mAsTTRU2Lvit1msWkQmMeIvJehJj4KvQaHJ5cgB48MEMfGCKXjYYrJ2ujgtld5ogmerz5FglM0PflCjf2SYns=w1179-h843-no?authuser=0,24.9828887,121.444553,,,,,【願景蒐集型】,"新北市,,公園綠地,,【願景蒐集型】",,期待提出與樹木共融的設施-增加喬木或複層植栽 ⦿ 管理單位：(需協調公部門使用最新資料查找),相簿 與 討論區,新北市土城區,(需協調公部門使用最新資料查找),(需協調公部門使用最新資料查找),50301,土城都市計畫-公園用地,"台灣油杉,槲櫟,森氏紅淡比,大明橘,鐘萼木",,,"(永建國小種樹打造原生植物小森林,https://www.mdnkids.com/news/?Serial_NO=114465)","(新北市-苗木申請業務窗口,https://www.landscaping.ntpc.gov.tw/cht/index.php?code=list&ids=15),(石碇區小格頭苗圃,https://udn.com/news/story/7323/4010790),(三峽區大埔苗圃,https://udn.com/news/story/7323/4010790),([機構] 安康分場,https://freshair.epa.gov.tw/tc_infor_list.asp),(羅東林區林管處-苗木申請業務窗口,https://luodong.forest.gov.tw/0000277),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)","(台北植物園,https://tpbg.tfri.gov.tw/),(關渡自然公園,https://gd-park.org.tw/),(二叭子植物園,https://www.facebook.com/2Park279/),(台灣原生植物保種中心 / 瑞芳農場,https://www.facebook.com/pages/category/Non-Governmental-Organization--NGO-/%E5%8F%B0%E7%81%A3%E5%8E%9F%E7%94%9F%E6%A4%8D%E7%89%A9%E4%BF%9D%E7%A8%AE%E4%B8%AD%E5%BF%83-2269700696446307/)",http://tree.setnil.com/place/26/,,,,"116,817.86",0.5,0.35,"20,443.13"
27,新北市,三鶯之心公園,新北市-三鶯之心公園,期待提出與樹木共融的設施,,公園綠地,https://www.facebook.com/media/set/?set=oa.3023311301120986&type=3,https://lh3.googleusercontent.com/qgEZFwyWP-PofnY-DcCO483AnFs3s8kiNYxRIHvCIyHxUMWv--NxoNPg-h8PNJysxNmergvLgC3qWkG07YDl4Il1_xJFh0DGlSz4jjvo5r979X9J4UlUdeiTXlu7L40H-CZeWZx5JmaEXdxHkmL5CB1ioFPMC0ME-PcvZJaLBgD5VTaYV4QAnyLWbn1yYTYilhplvNhtvWefPgjWk68iP8icqj8EfbOpe6yJ2tyq1RCqBFTSTxJR7IVCi22JslnPZUv9XC53ugRuOcdH3tRG4TrWpWRXEnpIO_q7lQz_kFe43v8HW-YkUGydbxFFOS_TE6BGNQxIokMyRY0r-BdZVVF2rIGZIfSG2tcYYEx55aMYeaDlKzOfSJeRDnsm33tsjbsb4UZtfZISLDyVSUk9SrXDLux1I3EzczyVWs3GFKgvLKZJBH6zBhMZbZ60QpG5Kn78kcWtav2Ae2ywotDXP29re3PPdgUWOiVzVBL8wi0U_3LhrELqq8Ywqpv0MeCq0yGLgASF3_JvUiVnh11kfxi6QMMRRAoeo8DUQu6nkGt2flKxTubCIqaUsGNg4ZBSzk0khxLn6ikUjTb92rAG1wE3GnQOtbOfR1g1hyLU56iEXyox0b1flMIOnID1wVPXZDrmFakZlYRq0k5MzZHGylPZdgwkf_1Jf5qa7KHfIpCW-ymOan_R8VyO0bYkwDA=w1179-h843-no?authuser=0,24.9526026,121.3576043,,,新北市環境文教協會 https://www.facebook.com/166429210680866/videos/167073180616469/,,【捐款型】支持民間認養單位,"新北市,,公園綠地,,【捐款型】支持民間認養單位",,期待提出與樹木共融的設施 ⦿ 洽詢單位：新北市環境文教協會 https://www.facebook.com/166429210680866/videos/167073180616469/ ⦿ 管理單位：新北市政府,相簿 與 討論區,新北市鶯歌區,新北市,新北市政府,(需協調公部門使用最新資料查找),(需協調公部門使用最新資料查找),,,,,"(新北市-苗木申請業務窗口,https://www.landscaping.ntpc.gov.tw/cht/index.php?code=list&ids=15),(石碇區小格頭苗圃,https://udn.com/news/story/7323/4010790),(三峽區大埔苗圃,https://udn.com/news/story/7323/4010790),([機構] 安康分場,https://freshair.epa.gov.tw/tc_infor_list.asp),(羅東林區林管處-苗木申請業務窗口,https://luodong.forest.gov.tw/0000277),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)","(台北植物園,https://tpbg.tfri.gov.tw/),(關渡自然公園,https://gd-park.org.tw/),(二叭子植物園,https://www.facebook.com/2Park279/),(台灣原生植物保種中心 / 瑞芳農場,https://www.facebook.com/pages/category/Non-Governmental-Organization--NGO-/%E5%8F%B0%E7%81%A3%E5%8E%9F%E7%94%9F%E6%A4%8D%E7%89%A9%E4%BF%9D%E7%A8%AE%E4%B8%AD%E5%BF%83-2269700696446307/)",http://tree.setnil.com/place/27/,,,,"57,562.91",0.5,0.35,"10,073.51"
28,桃園市,大溪河濱公園,桃園市-大溪河濱公園,期待提出與樹木共融的設施,河濱地區,公園綠地,https://www.facebook.com/media/set/?set=oa.3023312501120866&type=3,https://lh3.googleusercontent.com/GEc4DULz7BqqarCYiFBcU3lGdA00iUUzxn6EItw22vquhqmUxzdYDY8DfZ560u7au_0kXGaLvV9mVPXOQaiXR7BWY8EMAsfihAU0DuBZ0Dqth4Hy0y1jwys5-CCVKD-MyZMJ4mzGpRx3UDB-AyizafEx-wi6hGOsgdUCimrPHNDs5DChf11BXnQ07QzKGygqwPFfEj_u3vyN5l9OlPPZ2ZixZaXfcmmVPI3jpw_-70YI1DMgZP3xVum6ytb0lmV9UkJIJOYmGYOYQvRuIDTnuTwLZGRQS7nCgOtCuBwucy4p-6RPqLqT6IbHTORYWm22QOu68pQmd-NWqWx0Rbar3XF5eS1H1aXvI7SPFFSjuF2zlJmXblJNg6CYKhm_MnAQ0L1eo06k7zGqkTopnqy0nIEg7k3tlpQdFDa4_rLNiud6tbQco4r5LUXdcDDOw3sU0K19oCD5rPNIBJTu9nB-tcUmPZtVwxZm6RqCWGR4BgCR4Fi9xiydcMBsyNOm9lNUdi2TdWjTlqGn6n90XnUrdf1Dicw8sVwLog0iX5AYTKrFL7Gl1UyL3fc2SK2EijK5HoZCmbzQFP_UFWwO7QWtBVPODE15A3rozoq_vhFega_0KpmGEV0NoB_VGBU-mM6m7EEeHLH93W4NagxrYFIc4L-uRfzMSDUZk86F5Y-_hq2YACEG1kknWXVJq4_wjqs=w1179-h843-no?authuser=0,24.8938657,121.2852782,,,,,【環境復育型】,"桃園市,河濱地區,公園綠地,,【環境復育型】",,期待提出與樹木共融的設施 ⦿ 管理單位：(需協調公部門使用最新資料查找),相簿 與 討論區,桃園市大溪區,(需協調公部門使用最新資料查找),(需協調公部門使用最新資料查找),70201,(需協調公部門使用最新資料查找),流蘇,,,,"(桃園市-苗木申請業務窗口,https://agriculture.tycg.gov.tw/home.jsp?id=168&parentpath=0,148,162&mcustomize=onemessages_view.jsp&dataserno=201811120001&aplistdn=ou=data,ou=sop,ou=chagriculture,ou=ap_root,o=tycg,c=tw&toolsflag=Y),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)",,http://tree.setnil.com/place/28/,,,,"46,285.72",0.5,0.35,"8,100.00"
29,桃園市,高鐵南路二段各個市鎮公園,桃園市-高鐵南路二段各個市鎮公園,期待提出與樹木共融的設施,,公園綠地,https://www.facebook.com/media/set/?set=oa.3023313287787454&type=3,https://lh3.googleusercontent.com/KJHDpTRq1zsgZIhMDLtlU1eBHKr4-Hy9od_3Ocyp2IKzr_E_Lnt17nW2dlOLwbo-lK6EgH5rupOn1790bMKQ_PCG_64S1mGln2xYXfuYCQfVeeTRe7hoI0PTeQsBzpSNPFaT5R6xrE3vYopBeReKAyg5Omzb9J0crKaW9TK1r4JVOkpPtN5x2F-NjAVjfMKA8n2kf6DgSF6xZRx74tU5m8iEwXSr7mL0_fdplXmvN85kwT10QqC2Wbpf8CG4kyVoxVwEIhBebjbO8NckeBisX2lfBc2uDLV_ODcCple2HUcgx2AsUadoS9PDARODTKRlZt2A-yTGHSI9YIsgqTT6HcxEvEGcplD9xZsjgGxNQByDmObV2zgQRluelYNVRrC2OLBfdgeiKjME2ha-EnkGS4LJkfHzAMMOjJ22JiTmdOX93XsWw1GqzC-mSa-_n9OdTW0TsT90WwzbdkDRf81qjPQLPz1agPkDgIyUPCqbfRcktNDLLrF8nMl3-0KxlFOggDF_NF7K6qYpyDWcHfJ-yDIegwBCqetAOPuPXchZH5RNW57c1rGzHI8yjrjvLG_atSnp6ojruIxW38Fc5b41EPvpoWiFZCDTvU9_AVxbkpoFUgOu_18xuDYcdfn8LMy8jSjN-yWhDpIGkME8HAMOLWHiFYGRimghB7aTM2SV5eleXn2uT187jZrhXKHnpO8=w1179-h843-no?authuser=0,25.004329,121.2073263,,,,,【願景蒐集型】,"桃園市,,公園綠地,,【願景蒐集型】",,期待提出與樹木共融的設施 ⦿ 管理單位：桃園市政府養護工程處,相簿 與 討論區,桃園市中壢區,桃園市,桃園市政府養護工程處,70201,(需協調公部門使用最新資料查找),流蘇,,,"(新北四號公園韌性都市林計畫,https://www.tfri.gov.tw/main/news_in.aspx?mnuid=5425&modid=529&nid=30214)","(桃園市-苗木申請業務窗口,https://agriculture.tycg.gov.tw/home.jsp?id=168&parentpath=0,148,162&mcustomize=onemessages_view.jsp&dataserno=201811120001&aplistdn=ou=data,ou=sop,ou=chagriculture,ou=ap_root,o=tycg,c=tw&toolsflag=Y),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)",,http://tree.setnil.com/place/29/,,,,"30,495.85",0.5,0.35,"5,336.77"
30,桃園市,中正公園,桃園市-中正公園,期待提出與樹木共融的設施,,公園綠地,https://www.facebook.com/media/set/?set=oa.3023313871120729&type=3,https://lh3.googleusercontent.com/pzAJ8qm2OxX2tj0eH1PO_9lK7Ps7Q_AlCnNkTcIDqAWMllZSY0FphlAJrXy2q4wp-9QoSWUKtzh92gD0GeOLm352C5lBZJM0oGIyTcIIKoyHmLETEq8w--pzBneJ43mzBPLE2Q8r9Q06YjeKx5Hd3sZXZOR8sKQ6TMBXsr1ksuiewJ4QuP0_oN_s91bdAJqqjbQV4SL7uQOVnCUwAtV7QmCl2diVl-C0b5wgTAhJ5gy05gYvkVewyXbuXn4taJYszVVHru9kWsSp_xE9fML_EYPtwntUQBMIhX1bXUPiXZ4Wg069D7zVx6DQAz_p3t8UeRaOWVMVH_mogegL3BomvmmiFSGgAYxAQ0XUXL0OuqsM2bbSGTdKVzoxbLbOwmrh-XMXcVpCup9Fyp7u-IXQWKf7yPnmb_HNND_NFRvOmyLJWI0GKxcyLnoD-HMFiOvS_4xDsgArNCJKi_ITBjskKw36lV3U8ljlI3gmZ8TEyj0o0HHScXHMhcfiB-OeT8dFYjIN1qDj84YmSP9nEjUq3JUE03ozvuurxDiGHExF8J5qt-t0g3qm8DweLUf2dWtdvc9cD7ZdzI0ub5QqrTLh0aVIB99U-5ueh_-2MsRMQUi0DyKfI14gS9Y4_bm81_KjCiPAQ5LWBJj_8y2Bgx2y-vQ-Ntad9kqHBfZQTw0Xuqf5FLNdLlXU9gZ4b0Nvp9A=w1179-h843-no?authuser=0,25.0231727,121.2978202,,,,,【願景蒐集型】,"桃園市,,公園綠地,,【願景蒐集型】",,期待提出與樹木共融的設施 ⦿ 管理單位：桃園市政府養護工程處,相簿 與 討論區,桃園市桃園區,桃園市,桃園市政府養護工程處,70201,(需協調公部門使用最新資料查找),流蘇,,,"(臺北市華山共融式兒童遊戲場結合樹木配置,https://youtu.be/k2nzbrt9uNA),(新北四號公園韌性都市林計畫,https://www.tfri.gov.tw/main/news_in.aspx?mnuid=5425&modid=529&nid=30214),(新北四號公園韌性都市林計畫,https://www.tfri.gov.tw/main/news_in.aspx?mnuid=5425&modid=529&nid=30214)","(桃園市-苗木申請業務窗口,https://agriculture.tycg.gov.tw/home.jsp?id=168&parentpath=0,148,162&mcustomize=onemessages_view.jsp&dataserno=201811120001&aplistdn=ou=data,ou=sop,ou=chagriculture,ou=ap_root,o=tycg,c=tw&toolsflag=Y),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)",,http://tree.setnil.com/place/30/,,,,"18,849.47",0.5,0.35,"3,298.66"
31,桃園市,玉山公園,桃園市-玉山公園,期待提出與樹木共融的設施,,公園綠地,https://www.facebook.com/media/set/?set=oa.3023315131120603&type=3,https://lh3.googleusercontent.com/bDWc1QM1sMW1HjA9dQv51py7QrMr6B8ZIXeW_aVLpuzTGn542m20um8NSRt3drYaB9E-z11v1apx9YIfP1EKbn_ZQF0TUEP6rQkPieuXCcvR32hzdvMpKn9-xVqce4JZi94pP-Zb8D6K_-vLUpbENGdaICplzXp-M-xQA_cUHig4PC0vC7_x8CQGFgKvTH5nwgS5nnSDB9uoPNVAtJhpc1vF5XHDlUO0ACTAdCqWrD2UEWS54sUAGHRi1kCtea8s9K1PUOndrHrWI4Vy2NcgHPTiMFxIa5vxEWNzLNuXmNIXtpsONQdrkIvMXNNKGFWa0hFzb8l4DFrQTChqmCkM0y7GXJvPbzNby9FUptadHsL79c8WzAQKjTWCHy7wTArylxnp4Fbqg6Vz2q_etPfsVqcbmKx1YLXEdwYljPaUmlQfN27qrA10PwVKVtJqL7wQgoiFX-HIgMtLfGNfIw9te3YkukzV9aMB-zWER36pLPvVad189n1SqEDJUR35SfivOH_zhsqBSvVBpmY9HhkY2nFpBEd-EPDoV_t1qs0O3IdEP0UOYm58d-mk3pdi38i6zXG36FUb-VE8cjrS59hyeIrpIs5RJTyOdGpQaKhRBy8f95X6bkxNLJzmLQC9wfltcIZOhxP9IElfKl0lPCqmxyfTXQ_6t94K50Sh-PI1BlAUIDbhXLmtJUP5l15SFoE=w1179-h843-no?authuser=0,24.9822055,121.3010025,,,,,【願景蒐集型】,"桃園市,,公園綠地,,【願景蒐集型】",,期待提出與樹木共融的設施 ⦿ 管理單位：桃園市立陽明高級中等學校,相簿 與 討論區,桃園市桃園市,中華民國,桃園市立陽明高級中等學校,70201,(需協調公部門使用最新資料查找),流蘇,,,"(臺北市華山共融式兒童遊戲場結合樹木配置,https://youtu.be/k2nzbrt9uNA),(新北四號公園韌性都市林計畫,https://www.tfri.gov.tw/main/news_in.aspx?mnuid=5425&modid=529&nid=30214),(新北四號公園韌性都市林計畫,https://www.tfri.gov.tw/main/news_in.aspx?mnuid=5425&modid=529&nid=30214)","(桃園市-苗木申請業務窗口,https://agriculture.tycg.gov.tw/home.jsp?id=168&parentpath=0,148,162&mcustomize=onemessages_view.jsp&dataserno=201811120001&aplistdn=ou=data,ou=sop,ou=chagriculture,ou=ap_root,o=tycg,c=tw&toolsflag=Y),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)",,http://tree.setnil.com/place/31/,,,,"40,969.14",0.5,0.35,"7,169.60"
32,桃園市,南崁溪出海口-球場餘裕地,桃園市-南崁溪出海口-球場餘裕地,期待提出與樹木共融的設施-增加喬木或複層植栽,,球場餘裕地,https://www.facebook.com/media/set/?set=oa.3023315984453851&type=3,https://lh3.googleusercontent.com/H2MBONUdMXLt706RCGcsk-onmh0Ot3WDosoyiJrI-jxObbC6BkSfzmkWdOLZR2sv_3h-WEwaibT6gwbnBgLmhiyY81D-M_Ep3W5PvOOJW50as1OlRd7mCEFhY4_zfgyHmhL_yHXSZCt5Q4_sDcj8Q-NNBC50tK-XHfVBqWtP_eT6lpPmzcW1VLB1y2HInz1kRgLx3FXCtB4FvbFV0mA6Ufzr4XCamGS6pgRKZQqqEnXZ7stchNOBgM3d-0zAG8gleqpjbBkxnMZQZy_R4OWKO8bCcEx1fa2AD2QObGwMoVxPiomIX1hUDhzVkwROkWSeyUAGvhv03SFrEFJfMMx7-A_RHf0vtoStG8xwD7TVI00-xOT_dqPcOt3M45gjkhkP1t5vn00dQujXMaYnitXQ5Ph9iStb9M06zZDMcKoUz7FAF_YPXWEXH4Qr2iN0kZd1QTFfAmBxSaz_5YDgytUrb1flfvI5lN2LhTSzEfXjbbn9stRM095NvyTNVh6yX9PyxeR7PH4n1ciOfAl_IhNp-BZI-dBTVhO6FmTdx2JSuhq_qM-ySdUq8dcmM80G2aGEiTSPLrTnfvITuZnNvlYWjmo6wwRxmld700rLDHXWKGiV1ZiN9MUwCNCguv29whxj7E9VZluaVIboE8ZsTUe04xKX_USqK6zZQoSCnGMRu2CwXfja_ubxXSokLbWsjRk=w1179-h843-no?authuser=0,25.1167629,121.2488627,,,,,【願景蒐集型】,"桃園市,,球場餘裕地,,【願景蒐集型】",,期待提出與樹木共融的設施-增加喬木或複層植栽 ⦿ 管理單位：桃園市蘆竹區公所,相簿 與 討論區,桃園市蘆竹區,中華民國,桃園市蘆竹區公所,90801,(需協調公部門使用最新資料查找),流蘇,,,"(高雄小港區大坪頂【小鸚鵡 種樹趣】直排輪溜冰場旁,https://www.iplanting.org/post/2018/06/12/%E3%80%90623%E5%B0%8F%E9%B8%9A%E9%B5%A1-%E7%A8%AE%E6%A8%B9%E8%B6%A3%E3%80%91),(屏東縣-屏東運動公園棒球場週邊綠化,https://lh3.googleusercontent.com/pw/ACtC-3eWvxEJj-4bJJPU_RyX4peAKkRz-4M9UJD_rqT32GmOuLp4vh9mspLA3jXfDOac8veewAyYCL5E4JzRuwCSOlCwizVQmUK2AmYwfxL_XIaXarH_Yqd6ZLS1rfUbYtjEQuu2iYl56952P45VXgEAPn2h3A=w920-h796-no?authuser=0),(臺北市華山共融式兒童遊戲場結合樹木配置,https://youtu.be/k2nzbrt9uNA)","(桃園市-苗木申請業務窗口,https://agriculture.tycg.gov.tw/home.jsp?id=168&parentpath=0,148,162&mcustomize=onemessages_view.jsp&dataserno=201811120001&aplistdn=ou=data,ou=sop,ou=chagriculture,ou=ap_root,o=tycg,c=tw&toolsflag=Y),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)",,http://tree.setnil.com/place/32/,,,,"23,631.15",0.5,0.35,"4,135.45"
33,桃園市,桃科綠地,桃園市-桃科綠地,期待提出與樹木共融的設施,工業區,公園綠地,https://www.facebook.com/media/set/?set=oa.3023316741120442&type=3,https://lh3.googleusercontent.com/QI53pPB26t3j-9kWl3rAJQowcdMgTWonZhJJJfildkws7Yx3u0v-g9F6C9xVK-0ywsR6K2YyXwUJegrVPl0HDWFuRn7hVhXSMRhxMO6oeYGsvfS34U90V58JCZDL6HRRMn56bF4F_A_Xoyo8XFrSxw01gspJSTqVrwzfdBJKEPc2xJKyPaqgnRgYQaWsW-ArQAYjKtmX8HEZmXlE_UqhJKYr5myUrAcV2zkAWnSiTz73oir9aioAIhmdK2GhMFlu3oFJIO2Y9k77RDClAndX4qjlMBtVzApdOp15HJMGNSm1gNPExy1p2wMqDgCVzasxhycVscbt2RiNmVYSe5WkuiHzzcr3MNfaqX_SPHtN1Tyv6dlmLGARO-kKYDJ2um9JJFCp9Iky1QzNLOS2IqgJPeDiI9SRs2jhj7vJ-E9UsD2tHqTCTH-vs55oQt1m8ArfctenwGx4s2IhE_NxlPTE8nLmaj_P7JmFKci9cchz-13lC5cJEZlIb2NHCmCbzyqgo4z_9lxQGRig4kOAoaMmJh_cUyitvfxkZ6lS3vV5QOUE7oaDJr22YBpjamEhLC0rchIvfUV_eLvgs1_W-WQjID7idJNt2dAlGRiWYZVoiHaLIOyriCwWPoy43JlroXl1xdPIt1Bt8U3NUmvVcJddpWkmZo3k8impDlWbCEk8xgUtz5SIHWg65YpiQzYpess=w1179-h843-no?authuser=0,25.0472265,121.0841404,,,,,【願景蒐集型】,"桃園市,工業區,公園綠地,,【願景蒐集型】",,期待提出與樹木共融的設施 ⦿ 管理單位：桃園市政府經濟發展局,相簿 與 討論區,桃園市觀音區,桃園市,桃園市政府經濟發展局,90802,(需協調公部門使用最新資料查找),流蘇,,,"(福爾摩沙百源植物教育園區,https://news.ltn.com.tw/news/life/breakingnews/2601333),(工業區綠化技術手冊,https://taiwanebook.ncl.edu.tw/en/book/NCL-9910002130/reader)","(桃園市-苗木申請業務窗口,https://agriculture.tycg.gov.tw/home.jsp?id=168&parentpath=0,148,162&mcustomize=onemessages_view.jsp&dataserno=201811120001&aplistdn=ou=data,ou=sop,ou=chagriculture,ou=ap_root,o=tycg,c=tw&toolsflag=Y),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)",,http://tree.setnil.com/place/33/,,,,"160,872.75",0.5,0.35,"28,152.73"
34,桃園市,新屋區觀海路海濱腹地,桃園市-新屋區觀海路海濱腹地,海岸區位植群營造,海岸-臺灣海峽,,https://www.facebook.com/media/set/?set=oa.3023317584453691&type=3,https://lh3.googleusercontent.com/013NH0ctWdiM6ibVE5Keeuo7hk--WwDScQXjA2Eo-HS-au-5eE0aB4HVDjiKsEb-4rNXtkjo3GdAcSEPdKvpuHfbvkBRt_gwxRKOLchew-bBhXV4S6Y8SdiAWAg3y9ZxHB9Yx2K2Gi7M_c8YLYjTmVe7WvrUms1hm04WlIhEwiRluG0hwai_5QqfHEPoOlNhcS0FcRXxropldM0-cagCXMBZYgpHNMo27YkaRZ3BWSd3t-qCTA9NVbeJUYaZRbKRsMJBdaIKA-GYqvJ5A1TVL8LaQVuW67FjSQdm8pjAVHhCDisRwa2kTmW-VkdVsJ60AwD-udwiEKdXaAONEnY06s43T5Ksod2uFky0nK35xGqRUkdnZQnp6HmXWeT1UMstZk4mZ0L4fWaYiaNAw_NLfOFWFr1XY3ECNkTXh4ACibIWfyo_3GMSjaDSECRV7MJFLgMjOC7dZ7Eq5uLCSzUeHMQoAGgJ71rHR5BsrwnpmcRDiNZASMdedYU5HihLTEh-Xvfn4Gsv87kwyZ21SmX6mUDjcvxt5_Nqy2EdYVMGEWHaZ2DByIWKxkPIP2P5Msi3xP-HPVpN8xYQA6ctcwlgLESUFiBaaRNJ_aDI-rVdhlP9HJAYVM8VbXy2iwRCtBXlNRaUN_LWnHUrNxFrRu9o5qefvIJ2iyGAt00Ce71Ltx1zZ0gS3Th-S5aVbttB7gQ=w1179-h843-no?authuser=0,24.9763731,121.0151647,,,,,【環境復育型】,"桃園市,海岸-臺灣海峽,,,【環境復育型】",,海岸區位植群營造 ⦿ 管理單位：桃園市政府地政局,相簿 與 討論區,桃園市新屋區,桃園市,桃園市政府地政局,90801,(需協調公部門使用最新資料查找),,,,,"(桃園市-苗木申請業務窗口,https://agriculture.tycg.gov.tw/home.jsp?id=168&parentpath=0,148,162&mcustomize=onemessages_view.jsp&dataserno=201811120001&aplistdn=ou=data,ou=sop,ou=chagriculture,ou=ap_root,o=tycg,c=tw&toolsflag=Y),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)",,http://tree.setnil.com/place/34/,,,,"36,189.87",0.1,0.35,"1,266.65"
35,新竹縣,紅毛港池腹地,新竹縣-紅毛港池腹地,期待提出與樹木共融的設施-善用水體提升公園生態,,,https://www.facebook.com/media/set/?set=oa.3023318721120244&type=3,https://lh3.googleusercontent.com/qpN9ZR7smUlxAgb-L6QyXD7XKHlwdXE-NSMYkiJnb8pgaLVDaNcYh1VRqMQeGkRtlZ4ZV10KAyn96J4zwXZHP-tfNeQ0s0WUWxozvtOOazs6jH1Pb7QUmcgIpV0c6wZMXpgXh-BAv4gA-RECov9HHH7kdh2VbTtDWd-XmnUl1lKTVS_zyw49CpaRkxkWtmHSrNfveaSx6o5wjFRCkxreCOewj66GppyNyrtYGP4Qpz8d1oOwr-rYeHWH2G4HYxGkInPQnclJEISp-isGe3VwOmV-7lzZVgsGUG-CGMfazVk9IYWmExF9STNpeU4Aw7K1AQRR9C9albsP0GuawxDUE6wU414QIQmncRHUMOD-vtc_wHcr0DGqlxSfKtSt127ZrKamDpg-PqjfTmpOigzdjPnyqX0HESEdZeoz_sss8yApen5HjiTABTj8R9t484T75i9nIbZpvCw2RhRJJA79u4z91ZlyMl9qLuhnRcqlnrDuWVQEs_GoEQcRSH92qSQ2SA3qSBp2YqNqtYXY-hT6aF8sZ1KZ00sKcyZFw9zip2RAZCQo_-PmbJ0rEJ7eAak_s7MQ5LfimMGlUcNl5zwSvPHzhIibvyOD8Yf_GoGBIo0B7xMhRpksIESOjgy9vTzGvP1AjIIVyEymDD_hOfSbc2xv3zf2ngkBHgPJFkY0yPWkYnduCzvAT942W3PxQ2Y=w1179-h843-no?authuser=0,24.9095737,120.9774448,,,,,【環境復育型】,"新竹縣,,,,【環境復育型】",,期待提出與樹木共融的設施-善用水體提升公園生態 ⦿ 管理單位：(需協調公部門使用最新資料查找),相簿 與 討論區,新竹縣新豐鄉,(需協調公部門使用最新資料查找),(需協調公部門使用最新資料查找),70202,(需協調公部門使用最新資料查找),,,,"(港尾溝溪滯洪池-種植蝴蝶食草植物並搭建生態浮島,https://www.taya.com.tw/msg/msg291.html)","(新豐生態苗圃,https://freshair.epa.gov.tw/tc_infor_list.asp),(新竹縣 -苗木申請業務窗口,https://e-services.hsinchu.gov.tw/GeneralItems/Details.aspx?DepName=22GlSR3v%2bwNTfUSoFX7tsQ%3d%3d&WorkType=4&page=1),(新竹林區林管處-苗木申請業務窗口,https://hsinchu.forest.gov.tw/seedlings)","(新竹自然谷環境教育基地,https://www.peopo.org/news/107685)",http://tree.setnil.com/place/35/,,,,"5,656.78",0.5,0.35,989.94
